[2026-06-03 17:39:54] gens_alive=3 load=68.82 | STT_6 xml=2312 asm=1891 errors=0 | SPT_6_oneLP xml=1227 asm=1322 errors=0 | Recon_6 xml=1811 asm=1958 errors=0
[2026-06-03 17:44:54] gens_alive=3 load=73.76 | STT_6 xml=6393 asm=6296 errors=0 | SPT_6_oneLP xml=3679 asm=4990 errors=0 | Recon_6 xml=4573 asm=5713 errors=0
[2026-06-03 17:49:54] gens_alive=3 load=81.20 | STT_6 xml=10470 asm=10528 errors=0 | SPT_6_oneLP xml=5810 asm=8722 errors=0 | Recon_6 xml=7689 asm=9952 errors=0
[2026-06-03 17:54:55] gens_alive=3 load=74.37 | STT_6 xml=14983 asm=14531 errors=0 | SPT_6_oneLP xml=7962 asm=12842 errors=0 | Recon_6 xml=11131 asm=14131 errors=0
[2026-06-03 17:59:55] gens_alive=3 load=78.59 | STT_6 xml=18707 asm=19460 errors=0 | SPT_6_oneLP xml=10026 asm=16870 errors=0 | Recon_6 xml=14877 asm=18767 errors=0
[2026-06-03 18:04:56] gens_alive=3 load=72.77 | STT_6 xml=22902 asm=23975 errors=0 | SPT_6_oneLP xml=12412 asm=21033 errors=0 | Recon_6 xml=18751 asm=22946 errors=0
[2026-06-03 18:09:57] gens_alive=3 load=68.67 | STT_6 xml=26941 asm=29292 errors=0 | SPT_6_oneLP xml=14772 asm=25588 errors=0 | Recon_6 xml=22576 asm=28006 errors=0
[2026-06-03 18:14:58] gens_alive=3 load=72.00 | STT_6 xml=30585 asm=32926 errors=0 | SPT_6_oneLP xml=16898 asm=29835 errors=0 | Recon_6 xml=24927 asm=32968 errors=0
[2026-06-03 18:19:59] gens_alive=3 load=80.18 | STT_6 xml=33913 asm=37313 errors=0 | SPT_6_oneLP xml=19089 asm=34069 errors=0 | Recon_6 xml=28081 asm=37404 errors=0
[2026-06-03 18:25:01] gens_alive=3 load=75.29 | STT_6 xml=37114 asm=42506 errors=0 | SPT_6_oneLP xml=21557 asm=38296 errors=0 | Recon_6 xml=31485 asm=41247 errors=0
[2026-06-03 18:30:02] gens_alive=3 load=77.63 | STT_6 xml=40861 asm=47110 errors=0 | SPT_6_oneLP xml=23852 asm=42219 errors=0 | Recon_6 xml=34889 asm=45848 errors=0
[2026-06-03 18:35:04] gens_alive=3 load=81.62 | STT_6 xml=44038 asm=50598 errors=0 | SPT_6_oneLP xml=26016 asm=46398 errors=0 | Recon_6 xml=37717 asm=50225 errors=0
[2026-06-03 18:40:06] gens_alive=3 load=65.30 | STT_6 xml=47801 asm=55996 errors=0 | SPT_6_oneLP xml=28354 asm=50919 errors=0 | Recon_6 xml=41176 asm=55062 errors=0
[2026-06-03 18:45:08] gens_alive=3 load=81.15 | STT_6 xml=51229 asm=60630 errors=0 | SPT_6_oneLP xml=30631 asm=55467 errors=0 | Recon_6 xml=44319 asm=59792 errors=0
[2026-06-03 18:50:11] gens_alive=3 load=85.38 | STT_6 xml=54851 asm=64706 errors=0 | SPT_6_oneLP xml=32747 asm=58897 errors=0 | Recon_6 xml=47061 asm=63865 errors=0
[2026-06-03 18:55:13] gens_alive=3 load=83.40 | STT_6 xml=58530 asm=68801 errors=0 | SPT_6_oneLP xml=34791 asm=62823 errors=0 | Recon_6 xml=49278 asm=67931 errors=0
[2026-06-03 19:00:16] gens_alive=3 load=93.57 | STT_6 xml=60542 asm=71104 errors=0 | SPT_6_oneLP xml=36038 asm=64839 errors=0 | Recon_6 xml=50931 asm=69418 errors=0
[2026-06-03 19:05:18] gens_alive=3 load=64.58 | STT_6 xml=65440 asm=75207 errors=0 | SPT_6_oneLP xml=38618 asm=70963 errors=0 | Recon_6 xml=54783 asm=75770 errors=0
[2026-06-03 19:10:22] gens_alive=3 load=67.65 | STT_6 xml=69186 asm=79941 errors=0 | SPT_6_oneLP xml=40888 asm=74874 errors=0 | Recon_6 xml=57985 asm=80605 errors=0
[2026-06-03 19:15:25] gens_alive=3 load=68.84 | STT_6 xml=73219 asm=85817 errors=0 | SPT_6_oneLP xml=43478 asm=80596 errors=0 | Recon_6 xml=60155 asm=86559 errors=0
[2026-06-03 19:20:28] gens_alive=3 load=83.33 | STT_6 xml=76575 asm=90311 errors=0 | SPT_6_oneLP xml=45709 asm=84308 errors=0 | Recon_6 xml=63447 asm=90187 errors=0
[2026-06-03 19:25:32] gens_alive=3 load=79.65 | STT_6 xml=79349 asm=94248 errors=0 | SPT_6_oneLP xml=47736 asm=88082 errors=0 | Recon_6 xml=66083 asm=94115 errors=0
[2026-06-03 19:30:35] gens_alive=3 load=86.03 | STT_6 xml=83041 asm=98161 errors=0 | SPT_6_oneLP xml=49699 asm=92010 errors=0 | Recon_6 xml=68648 asm=98021 errors=0
[2026-06-03 19:35:39] gens_alive=3 load=81.23 | STT_6 xml=86817 asm=102412 errors=0 | SPT_6_oneLP xml=51827 asm=95686 errors=0 | Recon_6 xml=71732 asm=102378 errors=0
[2026-06-03 19:40:43] gens_alive=3 load=70.23 | STT_6 xml=90981 asm=105707 errors=0 | SPT_6_oneLP xml=54178 asm=100559 errors=0 | Recon_6 xml=74988 asm=107422 errors=0
[2026-06-03 19:45:47] gens_alive=3 load=66.41 | STT_6 xml=95180 asm=110748 errors=0 | SPT_6_oneLP xml=56528 asm=104851 errors=0 | Recon_6 xml=77929 asm=111488 errors=0
[2026-06-03 19:50:51] gens_alive=3 load=82.25 | STT_6 xml=98737 asm=115217 errors=0 | SPT_6_oneLP xml=58470 asm=109162 errors=0 | Recon_6 xml=80517 asm=115477 errors=0
[2026-06-03 19:55:55] gens_alive=3 load=78.49 | STT_6 xml=101994 asm=119326 errors=0 | SPT_6_oneLP xml=59379 asm=113057 errors=0 | Recon_6 xml=83228 asm=119688 errors=0
[2026-06-03 20:01:00] gens_alive=3 load=85.01 | STT_6 xml=104592 asm=123484 errors=0 | SPT_6_oneLP xml=61540 asm=116941 errors=0 | Recon_6 xml=86113 asm=123988 errors=0
