[asm] Compiling 400000/400000 .ll files  (jobs=16) …
  progress: 500/400000  ok=500  errors=0
  progress: 1000/400000  ok=1000  errors=0
  progress: 1500/400000  ok=1500  errors=0
  progress: 2000/400000  ok=2000  errors=0
  progress: 2500/400000  ok=2500  errors=0
  progress: 3000/400000  ok=3000  errors=0
  progress: 3500/400000  ok=3500  errors=0
  progress: 4000/400000  ok=4000  errors=0
  progress: 4500/400000  ok=4500  errors=0
  progress: 5000/400000  ok=5000  errors=0
  progress: 5500/400000  ok=5500  errors=0
  progress: 6000/400000  ok=6000  errors=0
  progress: 6500/400000  ok=6500  errors=0
  progress: 7000/400000  ok=7000  errors=0
  progress: 7500/400000  ok=7500  errors=0
  progress: 8000/400000  ok=8000  errors=0
  progress: 8500/400000  ok=8500  errors=0
  progress: 9000/400000  ok=9000  errors=0
  progress: 9500/400000  ok=9500  errors=0
  progress: 10000/400000  ok=10000  errors=0
  progress: 10500/400000  ok=10500  errors=0
  progress: 11000/400000  ok=11000  errors=0
  progress: 11500/400000  ok=11500  errors=0
  progress: 12000/400000  ok=12000  errors=0
  progress: 12500/400000  ok=12500  errors=0
  progress: 13000/400000  ok=13000  errors=0
  progress: 13500/400000  ok=13500  errors=0
  progress: 14000/400000  ok=14000  errors=0
  progress: 14500/400000  ok=14500  errors=0
  progress: 15000/400000  ok=15000  errors=0
  progress: 15500/400000  ok=15500  errors=0
  progress: 16000/400000  ok=16000  errors=0
  progress: 16500/400000  ok=16500  errors=0
  progress: 17000/400000  ok=17000  errors=0
  progress: 17500/400000  ok=17500  errors=0
  progress: 18000/400000  ok=18000  errors=0
  progress: 18500/400000  ok=18500  errors=0
  progress: 19000/400000  ok=19000  errors=0
  progress: 19500/400000  ok=19500  errors=0
  progress: 20000/400000  ok=20000  errors=0
  progress: 20500/400000  ok=20500  errors=0
  progress: 21000/400000  ok=21000  errors=0
  progress: 21500/400000  ok=21500  errors=0
  progress: 22000/400000  ok=22000  errors=0
  progress: 22500/400000  ok=22500  errors=0
  progress: 23000/400000  ok=23000  errors=0
